acl_name,model,group_name,perm_read,perm_write,perm_create,perm_unlink
construction.acquiring.payment.user,construction.acquiring.payment,"{""en_US"": ""Role / User""}",t,t,t,f
construction.acquiring.payment.manager,construction.acquiring.payment,"{""en_US"": ""Role / User""}",t,t,t,t
construction.acquiring.refund.wizard.user,construction.acquiring.refund.wizard,"{""en_US"": ""Role / User""}",t,t,t,t
construction.advanced.analytics.user,construction.advanced.analytics,"{""en_US"": ""Role / User""}",t,f,f,f
construction.aging.analysis.user,construction.aging.analysis,"{""en_US"": ""Role / User""}",t,t,t,f
construction.aging.analysis.manager,construction.aging.analysis,"{""en_US"": ""Role / User""}",t,t,t,t
construction.ai.assistant,construction.ai.assistant,"{""en_US"": ""Role / User""}",t,t,t,t
construction.api.key.user,construction.api.key,"{""en_US"": ""Role / User""}",t,f,f,f
construction.api.key.manager,construction.api.key,"{""en_US"": ""Role / User""}",t,t,t,t
construction.api.rate.limit.user,construction.api.rate.limit,"{""en_US"": ""Role / User""}",t,f,f,f
construction.api.rate.limit.manager,construction.api.rate.limit,"{""en_US"": ""Role / User""}",t,t,t,t
construction.api.rate.limit.log.manager,construction.api.rate.limit.log,"{""en_US"": ""Role / User""}",t,t,t,t
construction.api.rate.limit.log.user,construction.api.rate.limit.log,"{""en_US"": ""Role / User""}",t,f,f,f
construction.audit.checklist.user,construction.audit.checklist,"{""en_US"": ""Role / User""}",t,t,t,f
construction.audit.checklist.manager,construction.audit.checklist,"{""en_US"": ""Просмотр логов аудита""}",t,t,t,t
construction.audit.checklist.item.user,construction.audit.checklist.item,"{""en_US"": ""Role / User""}",t,t,t,f
construction.audit.checklist.item.manager,construction.audit.checklist.item,"{""en_US"": ""Просмотр логов аудита""}",t,t,t,t
construction.audit.log.user,construction.audit.log,"{""en_US"": ""Role / User""}",t,f,f,f
construction.audit.log.manager,construction.audit.log,"{""en_US"": ""Role / User""}",t,f,t,f
construction.audit.schedule.user,construction.audit.schedule,"{""en_US"": ""Role / User""}",t,t,t,f
construction.audit.schedule.manager,construction.audit.schedule,"{""en_US"": ""Просмотр логов аудита""}",t,t,t,t
construction.auto.approval.rule.user,construction.auto.approval.rule,"{""en_US"": ""Role / User""}",t,t,t,t
construction.auto.approval.rule.manager,construction.auto.approval.rule,"{""en_US"": ""Role / User""}",t,t,t,t
construction.auto.approval.service.user,construction.auto.approval.service,"{""en_US"": ""Role / User""}",t,f,f,f
construction.auto.delivery.planning.service.user,construction.auto.delivery.planning.service,"{""en_US"": ""Role / User""}",t,t,t,t
construction.auto.document.generation.user,construction.auto.document.generation,"{""en_US"": ""Role / User""}",t,t,t,t
construction.bonus.calculation.user,construction.bonus.calculation,"{""en_US"": ""Role / User""}",t,t,t,t
construction.bonus.calculation.line.user,construction.bonus.calculation.line,"{""en_US"": ""Role / User""}",t,t,t,t
construction.brigade.manager,construction.brigade,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.brigade.user,construction.brigade,"{""en_US"": ""Role / User""}",t,t,t,f
construction.brigade.kpi,construction.brigade.kpi,"{""en_US"": ""Role / User""}",t,t,t,t
construction.budget.item,construction.budget.item,"{""en_US"": ""Role / User""}",t,t,t,f
construction.budget.item.manager,construction.budget.item,"{""en_US"": ""Role / User""}",t,t,t,t
construction.change.request.manager,construction.change.request,"{""en_US"": ""Role / User""}",t,t,t,t
construction.change.request.user,construction.change.request,"{""en_US"": ""Role / User""}",t,t,t,f
construction.contract.penalty.manager,construction.contract.penalty,"{""en_US"": ""Role / User""}",t,t,t,t
construction.contract.penalty.user,construction.contract.penalty,"{""en_US"": ""Role / User""}",t,t,t,f
construction.crew.manager,construction.crew,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.crew.user,construction.crew,"{""en_US"": ""Role / User""}",t,t,t,f
construction.critical.path,construction.critical.path,"{""en_US"": ""Role / User""}",t,t,t,t
construction.daily.log.manager,construction.daily.log,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.user,construction.daily.log,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.equipment.manager,construction.daily.log.equipment,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.equipment.user,construction.daily.log.equipment,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.event.manager,construction.daily.log.event,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.event.user,construction.daily.log.event,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.photo.manager,construction.daily.log.photo,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.photo.user,construction.daily.log.photo,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.visitor.manager,construction.daily.log.visitor,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.visitor.user,construction.daily.log.visitor,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.work.manager,construction.daily.log.work,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.work.user,construction.daily.log.work,"{""en_US"": ""Role / User""}",t,t,t,f
construction.daily.log.workforce.manager,construction.daily.log.workforce,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.daily.log.workforce.user,construction.daily.log.workforce,"{""en_US"": ""Role / User""}",t,t,t,f
construction.demo.seed.user,construction.demo.seed,"{""en_US"": ""Role / User""}",t,t,t,t
construction.digital.twin.manager,construction.digital.twin,"{""en_US"": ""Role / User""}",t,t,t,t
construction.digital.twin.user,construction.digital.twin,"{""en_US"": ""Role / User""}",t,t,t,f
construction.dispatch.order.manager,construction.dispatch.order,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.dispatch.order.user,construction.dispatch.order,"{""en_US"": ""Role / User""}",t,t,t,f
construction.drawing.manager,construction.drawing,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.drawing.user,construction.drawing,"{""en_US"": ""Role / User""}",t,t,t,f
construction.drawing.annotation.manager,construction.drawing.annotation,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.drawing.annotation.user,construction.drawing.annotation,"{""en_US"": ""Role / User""}",t,t,t,f
construction.employee.qualification.manager,construction.employee.qualification,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.employee.qualification.user,construction.employee.qualification,"{""en_US"": ""Role / User""}",t,t,t,f
construction.ens.account.manager,construction.ens.account,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.ens.account.user,construction.ens.account,"{""en_US"": ""Role / User""}",t,t,t,f
construction.ens.operation.manager,construction.ens.operation,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.ens.operation.user,construction.ens.operation,"{""en_US"": ""Role / User""}",t,t,t,f
construction.ens.reconciliation.manager,construction.ens.reconciliation,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.ens.reconciliation.user,construction.ens.reconciliation,"{""en_US"": ""Role / User""}",t,t,t,f
construction.equipment.control.manager,construction.equipment.control,"{""en_US"": ""Role / Administrator""}",t,t,t,t
construction.equipment.control.user,construction.equipment.control,"{""en_US"": ""Role / User""}",t,t,t,f
construction.error.log.user,construction.error.log,"{""en_US"": ""Role / User""}",t,f,f,f
construction.error.log.manager,construction.error.log,"{""en_US"": ""Role / User""}",t,t,t,t
construction.estimate.manager,construction.estimate,"{""en_US"": ""Role / User""}",t,t,t,t
construction.estimate.user,construction.estimate,"{""en_US"": ""Role / User""}",t,t,t,f
construction.estimate.arps.import.preview.line.user,construction.estimate.arps.import.preview.line,"{""en_US"": ""Role / User""}",t,t,t,t
construction.estimate.arps.import.wizard.user,construction.estimate.arps.import.wizard,"{""en_US"": ""Role / User""}",t,t,t,t
construction.estimate.item.manager,construction.estimate.item,"{""en_US"": ""Role / User""}",t,t,t,t
construction.estimate.item.user,construction.estimate.item,"{""en_US"": ""Role / User""}",t,t,t,f
construction.estimate.norm.manager,construction.estimate.norm,"{""en_US"": ""Role / User""}",t,t,t,t
