module,controller,method,path,handler,auth_rule
infra.report,PdfReportController,GET,/api/pdf-reports//ks2/{id}/pdf,downloadKs2Report,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
infra.report,PdfReportController,GET,/api/pdf-reports//ks3/{id}/pdf,downloadKs3Report,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
infra.report,PdfReportController,GET,/api/pdf-reports//project/{id}/summary,downloadProjectSummary,"hasAnyRole('ADMIN', 'PROJECT_MANAGER')"
infra.report,PdfReportController,GET,/api/pdf-reports//safety/{id}/pdf,downloadSafetyReport,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'SAFETY_OFFICER')"
infra.report,PdfReportController,GET,/api/pdf-reports//daily-log/{id}/pdf,downloadDailyLogReport,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER', 'FOREMAN')"
cde,RevisionSetController,GET,/api/cde/revision-sets,list,
cde,RevisionSetController,GET,/api/cde/revision-sets//{id},getById,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,RevisionSetController,POST,/api/cde/revision-sets,create,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,RevisionSetController,DELETE,/api/cde/revision-sets//{id},delete,hasRole('ADMIN')
cde,DocumentContainerController,GET,/api/cde/documents,list,
cde,DocumentContainerController,GET,/api/cde/documents//{id},getById,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,DocumentContainerController,GET,/api/cde/documents//{id}/revisions,getRevisions,
cde,DocumentContainerController,GET,/api/cde/documents//{id}/audit,getAuditTrail,
cde,DocumentContainerController,POST,/api/cde/documents,create,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,DocumentContainerController,POST,/api/cde/documents//{id}/revisions,addRevision,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,DocumentContainerController,PUT,/api/cde/documents//{id},update,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,DocumentContainerController,DELETE,/api/cde/documents//{id},delete,hasRole('ADMIN')
cde,DocumentContainerController,PATCH,/api/cde/documents//{id}/state,changeState,"hasAnyRole('ADMIN', 'PROJECT_MANAGER')"
cde,TransmittalController,GET,/api/cde/transmittals,list,
cde,TransmittalController,GET,/api/cde/transmittals//{id},getById,"hasAnyRole('ADMIN', 'PROJECT_MANAGER', 'ENGINEER')"
cde,TransmittalController,GET,/api/cde/transmittals//{id}/items,getItems,"hasAnyRole('ADMIN', 'PROJECT_MANAGER')"
