odoo_model,odoo_acl_name,odoo_group,odoo_read,odoo_write,odoo_create,odoo_delete,odoo_record_rules,next_entity,next_role,next_read,next_write,next_create,next_delete,next_endpoint_count,status,gap
construction.acquiring.payment,construction.acquiring.payment.user,Role / User,True,True,True,False,global-access,AcquiringPayment,"ACCOUNTANT, ADMIN, FINANCE_MANAGER, PROJECT_MANAGER, isAuthenticated",True,False,True,False,11,PARTIAL,Odoo grants write but Next has no WRITE endpoint
construction.acquiring.payment,construction.acquiring.payment.manager,Role / User,True,True,True,True,global-access,AcquiringPayment,"ACCOUNTANT, ADMIN, FINANCE_MANAGER, PROJECT_MANAGER, isAuthenticated",True,False,True,False,11,PARTIAL,Odoo grants write but Next has no WRITE endpoint; Odoo grants delete but Next has no DELETE endpoint
construction.acquiring.refund.wizard,construction.acquiring.refund.wizard.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AcquiringRefundWizard
construction.aging.analysis,construction.aging.analysis.user,Role / User,True,True,True,False,global-access,AgingAnalysis,"ADMIN, FINANCE_MANAGER, PROJECT_MANAGER, isAuthenticated",True,False,True,True,29,PARTIAL,Odoo grants write but Next has no WRITE endpoint
construction.aging.analysis,construction.aging.analysis.manager,Role / User,True,True,True,True,global-access,AgingAnalysis,"ADMIN, FINANCE_MANAGER, PROJECT_MANAGER, isAuthenticated",True,False,True,True,29,PARTIAL,Odoo grants write but Next has no WRITE endpoint
construction.ai.assistant,construction.ai.assistant,Role / User,True,True,True,True,none,AiAssistant,isAuthenticated,True,True,False,False,6,PARTIAL,Odoo grants create but Next has no CREATE endpoint; Odoo grants delete but Next has no DELETE endpoint
construction.api.rate.limit.log,construction.api.rate.limit.log.manager,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity ApiRateLimitLog
construction.api.rate.limit.log,construction.api.rate.limit.log.user,Role / User,True,False,False,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity ApiRateLimitLog
construction.audit.checklist,construction.audit.checklist.user,Role / User,True,True,True,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditChecklist
construction.audit.checklist,construction.audit.checklist.manager,Просмотр логов аудита,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditChecklist
construction.audit.checklist.item,construction.audit.checklist.item.user,Role / User,True,True,True,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditChecklistItem
construction.audit.checklist.item,construction.audit.checklist.item.manager,Просмотр логов аудита,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditChecklistItem
construction.audit.log,construction.audit.log.user,Role / User,True,False,False,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditLog
construction.audit.log,construction.audit.log.manager,Role / User,True,False,True,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditLog
construction.audit.schedule,construction.audit.schedule.user,Role / User,True,True,True,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditSchedule
construction.audit.schedule,construction.audit.schedule.manager,Просмотр логов аудита,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AuditSchedule
construction.auto.approval.rule,construction.auto.approval.rule.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AutoApprovalRule
construction.auto.approval.rule,construction.auto.approval.rule.manager,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AutoApprovalRule
construction.auto.approval.service,construction.auto.approval.service.user,Role / User,True,False,False,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AutoApprovalService
construction.auto.delivery.planning.service,construction.auto.delivery.planning.service.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AutoDeliveryPlanningService
construction.auto.document.generation,construction.auto.document.generation.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity AutoDocumentGeneration
construction.bonus.calculation,construction.bonus.calculation.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity BonusCalculation
construction.bonus.calculation.line,construction.bonus.calculation.line.user,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity BonusCalculationLine
construction.budget.item,construction.budget.item,Role / User,True,True,True,False,global-access,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity BudgetItem
construction.budget.item,construction.budget.item.manager,Role / User,True,True,True,True,global-access,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity BudgetItem
construction.change.request,construction.change.request.manager,Role / User,True,True,True,True,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity ChangeRequest
construction.change.request,construction.change.request.user,Role / User,True,True,True,False,none,NOT_FOUND,N/A,False,False,False,False,0,MISSING,No Next endpoints found for entity ChangeRequest
construction.contract.penalty,construction.contract.penalty.manager,Role / User,True,True,True,True,multi-company,ContractPenalty,"ADMIN, CONTRACT_MANAGER, FINANCE_MANAGER, HR_MANAGER, LAWYER, PROJECT_MANAGER, isAuthenticated",True,True,True,False,23,PARTIAL,Odoo grants delete but Next has no DELETE endpoint
construction.critical.path,construction.critical.path,Role / User,True,True,True,True,none,CriticalPath,"ADMIN, PROJECT_MANAGER, isAuthenticated",True,False,False,False,2,PARTIAL,Odoo grants write but Next has no WRITE endpoint; Odoo grants create but Next has no CREATE endpoint; Odoo grants delete but Next has no DELETE endpoint
construction.daily.log,construction.daily.log.manager,Role / Administrator,True,True,True,True,multi-company,DailyLog,"ADMIN, ENGINEER, FOREMAN, PROJECT_MANAGER, isAuthenticated",True,True,False,True,12,PARTIAL,Odoo grants create but Next has no CREATE endpoint
