module,controllers,endpoints
pto,7,51
bim,9,47
integration,7,44
calendar,4,42
analytics,4,41
costManagement,5,40
finance,4,39
permission,5,38
settings,6,38
fleet,4,37
warehouse,5,36
contractExt,6,34
planning,5,31
pmWorkflow,3,31
hrRussian,6,30
accounting,5,27
changeManagement,3,25
hr,3,25
maintenance,1,25
safety,3,25
cde,3,22
auth,4,21
closing,2,21
portfolio,1,21
quality,3,21
revenueRecognition,4,21
support,2,21
design,1,20
messaging,2,20
portal,5,20
task,2,20
regulatory,3,19
chatter,4,18
contract,2,18
dailylog,1,18
bidScoring,1,17
leave,1,17
ops,1,17
procurementExt,2,17
recruitment,1,17
crm,1,16
procurement,1,16
russianDoc,3,16
closeout,3,15
estimate,1,14
monitoring,4,14
document,2,13
notification,2,13
kep,1,12
legal,1,12
m29,1,11
punchlist,1,11
specification,1,11
ai,1,10
mobile,1,10
project,1,10
iot,1,9
journal,1,9
monthlySchedule,1,9
search,2,8
scheduler,1,7
immutableAudit,1,6
report,1,6
infra.report,1,5
organization,1,5
planfact,1,4
infra.web,1,0
