role,occurrences_in_auth_expressions
ADMIN,934
PROJECT_MANAGER,582
ENGINEER,150
FINANCE_MANAGER,73
HR_MANAGER,59
ACCOUNTANT,57
FOREMAN,54
CONTRACT_MANAGER,37
QUALITY_MANAGER,26
SUPPLY_MANAGER,25
WAREHOUSE_MANAGER,24
SAFETY_MANAGER,20
FLEET_MANAGER,19
COST_MANAGER,18
DOCUMENT_MANAGER,16
REGULATORY_MANAGER,15
LAWYER,14
SALES_MANAGER,12
SUPPORT_MANAGER,12
MAINTENANCE_MANAGER,12
PROCUREMENT_MANAGER,10
LOGISTICS_MANAGER,9
PORTAL_CUSTOMER,9
PORTAL_CONTRACTOR,9
PORTAL_SUBCONTRACTOR,9
PORTAL_SUPPLIER,9
INSPECTOR,8
BID_MANAGER,8
DESIGNER,7
RECRUITER,7
SYSTEM,5
SAFETY_OFFICER,4
OPERATOR,2
