path,component,importPath,file,status,placeholderData,mockTokens,usesApiClient,routeFile
*,NotFoundPage,@/pages/NotFoundPage,frontend/src/pages/NotFoundPage.tsx,likely-real,0,0,0,frontend/src/routes/index.tsx
warehouse/locations,WarehouseLocationsPage,@/modules/warehouse/WarehouseLocationsPage,frontend/src/modules/warehouse/WarehouseLocationsPage.tsx,partial,1,4,0,frontend/src/routes/warehouseRoutes.tsx
warehouse/stock,StockPage,@/modules/warehouse/StockPage,frontend/src/modules/warehouse/StockPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/materials,MaterialListPage,@/modules/warehouse/MaterialListPage,frontend/src/modules/warehouse/MaterialListPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/materials/new,MaterialFormPage,@/modules/warehouse/MaterialFormPage,frontend/src/modules/warehouse/MaterialFormPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/materials/:id,MaterialDetailPage,@/modules/warehouse/MaterialDetailPage,frontend/src/modules/warehouse/MaterialDetailPage.tsx,partial,0,7,0,frontend/src/routes/warehouseRoutes.tsx
warehouse/materials/:id/edit,MaterialFormPage,@/modules/warehouse/MaterialFormPage,frontend/src/modules/warehouse/MaterialFormPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/movements,MovementListPage,@/modules/warehouse/MovementListPage,frontend/src/modules/warehouse/MovementListPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/movements/board,MovementBoardPage,@/modules/warehouse/MovementBoardPage,frontend/src/modules/warehouse/MovementBoardPage.tsx,likely-real,0,0,0,frontend/src/routes/warehouseRoutes.tsx
warehouse/movements/new,MovementFormPage,@/modules/warehouse/MovementFormPage,frontend/src/modules/warehouse/MovementFormPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/movements/:id/edit,MovementFormPage,@/modules/warehouse/MovementFormPage,frontend/src/modules/warehouse/MovementFormPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/inventory,InventoryPage,@/modules/warehouse/InventoryPage,frontend/src/modules/warehouse/InventoryPage.tsx,partial,1,4,0,frontend/src/routes/warehouseRoutes.tsx
warehouse/stock-limits,StockLimitsPage,@/modules/warehouse/StockLimitsPage,frontend/src/modules/warehouse/StockLimitsPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
warehouse/stock-alerts,StockAlertsPage,@/modules/warehouse/StockAlertsPage,frontend/src/modules/warehouse/StockAlertsPage.tsx,likely-real,0,0,1,frontend/src/routes/warehouseRoutes.tsx
operations/daily-logs,OperationsDailyLogsPage,@/modules/operations/OperationsDailyLogsPage,frontend/src/modules/operations/OperationsDailyLogsPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
operations/daily-logs/new,DailyLogCreatePage,@/modules/operations/DailyLogCreatePage,frontend/src/modules/operations/DailyLogCreatePage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
operations/daily-logs/:id,DailyLogDetailPage,@/modules/operations/DailyLogDetailPage,frontend/src/modules/operations/DailyLogDetailPage.tsx,partial,0,16,0,frontend/src/routes/operationsRoutes.tsx
operations/work-orders,WorkOrdersPage,@/modules/operations/WorkOrdersPage,frontend/src/modules/operations/WorkOrdersPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
operations/work-orders/board,WorkOrderBoardPage,@/modules/operations/WorkOrderBoardPage,frontend/src/modules/operations/WorkOrderBoardPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
operations/work-orders/:id,WorkOrderDetailPage,@/modules/operations/WorkOrderDetailPage,frontend/src/modules/operations/WorkOrderDetailPage.tsx,partial,1,0,0,frontend/src/routes/operationsRoutes.tsx
operations/dashboard,OperationsDashboardPage,@/modules/operations/OperationsDashboardPage,frontend/src/modules/operations/OperationsDashboardPage.tsx,partial,0,4,0,frontend/src/routes/operationsRoutes.tsx
operations/dispatch-calendar,DispatchCalendarPage,@/modules/operations/DispatchCalendarPage,frontend/src/modules/operations/DispatchCalendarPage.tsx,partial,0,4,0,frontend/src/routes/operationsRoutes.tsx
fleet,FleetListPage,@/modules/fleet/FleetListPage,frontend/src/modules/fleet/FleetListPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
fleet/new,FleetVehicleFormPage,@/modules/fleet/FleetVehicleFormPage,frontend/src/modules/fleet/FleetVehicleFormPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
fleet/:id,FleetDetailPage,@/modules/fleet/FleetDetailPage,frontend/src/modules/fleet/FleetDetailPage.tsx,partial,1,4,1,frontend/src/routes/operationsRoutes.tsx
fleet/:id/edit,FleetVehicleFormPage,@/modules/fleet/FleetVehicleFormPage,frontend/src/modules/fleet/FleetVehicleFormPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
fleet/maintenance,MaintenancePage,@/modules/fleet/MaintenancePage,frontend/src/modules/fleet/MaintenancePage.tsx,partial,1,7,0,frontend/src/routes/operationsRoutes.tsx
fleet/maintenance/board,FleetMaintenanceBoardPage,@/modules/fleet/FleetMaintenanceBoardPage,frontend/src/modules/fleet/FleetMaintenanceBoardPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
fleet/fuel,FuelPage,@/modules/fleet/FuelPage,frontend/src/modules/fleet/FuelPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
iot/devices,DevicesPage,@/modules/iot/DevicesPage,frontend/src/modules/iot/DevicesPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
iot/devices/:id,DeviceDetailPage,@/modules/iot/DeviceDetailPage,frontend/src/modules/iot/DeviceDetailPage.tsx,partial,2,11,1,frontend/src/routes/operationsRoutes.tsx
iot/sensors,SensorsPage,@/modules/iot/SensorsPage,frontend/src/modules/iot/SensorsPage.tsx,partial,1,7,1,frontend/src/routes/operationsRoutes.tsx
iot/alerts,AlertsPage,@/modules/iot/AlertsPage,frontend/src/modules/iot/AlertsPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
maintenance/requests,MaintenanceRequestListPage,@/modules/maintenance/MaintenanceRequestListPage,frontend/src/modules/maintenance/MaintenanceRequestListPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
maintenance/requests/new,MaintenanceRequestFormPage,@/modules/maintenance/MaintenanceRequestFormPage,frontend/src/modules/maintenance/MaintenanceRequestFormPage.tsx,partial,1,3,1,frontend/src/routes/operationsRoutes.tsx
maintenance/requests/:id/edit,MaintenanceRequestFormPage,@/modules/maintenance/MaintenanceRequestFormPage,frontend/src/modules/maintenance/MaintenanceRequestFormPage.tsx,partial,1,3,1,frontend/src/routes/operationsRoutes.tsx
maintenance/board,MaintenanceBoardPage,@/modules/maintenance/MaintenanceBoardPage,frontend/src/modules/maintenance/MaintenanceBoardPage.tsx,likely-real,0,0,0,frontend/src/routes/operationsRoutes.tsx
maintenance/equipment,EquipmentListPage,@/modules/maintenance/EquipmentListPage,frontend/src/modules/maintenance/EquipmentListPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
maintenance/dashboard,MaintenanceDashboardPage,@/modules/maintenance/MaintenanceDashboardPage,frontend/src/modules/maintenance/MaintenanceDashboardPage.tsx,likely-real,0,0,1,frontend/src/routes/operationsRoutes.tsx
